Player Id, Team Id, Player Name, Last Name, Shortened Name, Player Number, Games Played, Attempted Passes, Throwing Attempts Per Point, Throwing Attempts >30 Yards,  Completed Passes, Completions Per Point, Completions >30 Yards, Incompletions, Incompletions Per Point, Incompletions >30 Yards, Completion Percentage, >30 Yards Completion %, Receptions, Goals Scored, Goal Scores Per Point, Assists, Assists Per Point, Goals Against, Goals Against per Point, Throwing Yards, Thorwing Yards Per Point, Receiving Yards, Receiving Yards Per Point, Involvement Yards, Involvement Yards Per Point, Involvement Yards per OPoss, Percent Involvement Yards Throwing, Average Yard Per Throw Attempt, Average Yard Per Involvement (attempted throws + receptions), Involvment Yards per Turn, Touches Per Turnover, Average Yard per Catch, OLine Points Played, DLine Points Played, Total Points Played,Points Per Game,  O Plus Minus, D Plus Minus, Total Plus Minus, Percent Points OLine, Percent Points DLine, O Possessions Played, D Possessions Played, Percent Possessions Offensive, Percent Possessions Defensive, Offensive Usage Rate, Blocks, Interceptions, Blocks and Interceptions, Nearest Defender on Away Throwaway, Home Goals Scored While On Field, Average Number OPossessions Played Per Team Goal, Goals Against Per DPossession Played,Inverse Goals Against Per DPossession Played, Blocks Intercepts Per DPossession Played, Yards Against,Yards Against Ratable Share, Inverse Yards Against Ratable Share, Defensive DisUsage, Inverse Defensive Disusage
1371831547, 442#1371831469, Janin, null, Jani, 1, 9, 88, 0.838, 7, 79, 0.752, 5, 9, 0.086, 2, 0.89772725, 0.71428573, 90, 6, 0.057, 3, 0.029, 5, 0.048, 452.153, 4.306, 630.123, 6.001, 1082.276, 10.307, 8.199, 0.418, 5.138, 6.404, 120.25, 10.44, 7.001,77, 28, 105, 11.667, 23, -4, 19, 0.733, 0.267, 132, 104, 0.559, 0.441, 0.104, 4, 1, 5, 2, 60, 2.2, 0.048, 0.952, 0.048, 349.882, 0.118, 0.882, 0.145, 0.855
1371831602, 442#1371831469, Clark, null, Clar, 4, 9, 100, 0.870, 9, 91, 0.791, 3, 9, 0.078, 6, 0.91, 0.33333334, 107, 10, 0.087, 6, 0.052, 9, 0.078, 372.034, 3.235, 725.868, 6.312, 1097.902, 9.547, 8.999, 0.339, 3.720, 5.545, 121.99, 12.22, 6.784,38, 77, 115, 12.778, 20, -33, -13, 0.330, 0.670, 122, 132, 0.480, 0.520, 0.150, 1, 1, 2, 6, 56, 2.1785715, 0.068, 0.932, 0.015, 844.246, 0.173, 0.827, 0.162, 0.838
1371831624, 442#1371831469, Honn, null, Honn, 5, 9, 93, 0.838, 7, 86, 0.775, 4, 7, 0.063, 3, 0.9247312, 0.5714286, 98, 7, 0.063, 8, 0.072, 3, 0.027, 548.678, 4.943, 935.272, 8.426, 1483.950, 13.369, 11.328, 0.370, 5.900, 8.065, 211.99, 14.29, 9.544,78, 33, 111, 12.333, 24, 1, 25, 0.703, 0.297, 131, 96, 0.577, 0.423, 0.111, 2, 2, 4, 2, 69, 1.8985507, 0.031, 0.969, 0.042, 440.401, 0.155, 0.845, 0.144, 0.856
1371831691, 442#1371831469, Kocher, null, Koch, 7, 6, 56, 0.848, 2, 52, 0.788, 0, 4, 0.061, 2, 0.9285714, 0.0, 51, 3, 0.045, 1, 0.015, 5, 0.076, 300.131, 4.547, 280.501, 4.250, 580.632, 8.797, 7.541, 0.517, 5.359, 5.637, 145.16, 14.75, 5.500,32, 34, 66, 11.000, 8, -20, -12, 0.485, 0.515, 77, 78, 0.497, 0.503, 0.106, 1, 0, 1, 1, 28, 2.75, 0.064, 0.936, 0.013, 292.149, 0.107, 0.893, 0.142, 0.858
1371831727, 442#1371831469, Montague, null, Mont, 8, 9, 321, 2.277, 19, 305, 2.163, 12, 16, 0.113, 7, 0.95015574, 0.6315789, 267, 4, 0.028, 20, 0.142, 3, 0.021, 2388.945, 16.943, 1085.708, 7.700, 3474.653, 24.643, 19.855, 0.688, 7.442, 6.075, 217.17, 20.31, 4.066,110, 31, 141, 15.667, 42, -9, 33, 0.780, 0.220, 175, 125, 0.583, 0.417, 0.234, 0, 0, 0, 3, 86, 2.0348837, 0.024, 0.976, 0.000, 242.840, 0.069, 0.931, 0.132, 0.868
1371831762, 442#1371831469, Elliot, null, Elli, 9, 9, 22, 0.244, 0, 18, 0.200, 0, 4, 0.044, 0, 0.8181818, 0.0, 22, 1, 0.011, 0, 0.000, 8, 0.089, 41.626, 0.463, 189.943, 2.110, 231.569, 2.573, 2.859, 0.180, 1.892, 5.789, 57.89, 5.75, 8.634,14, 76, 90, 10.000, -2, -34, -36, 0.156, 0.844, 81, 120, 0.403, 0.597, 0.053, 0, 0, 0, 1, 30, 2.7, 0.067, 0.933, 0.000, 519.870, 0.117, 0.883, 0.138, 0.862
1371831849, 442#1371831469, Freechild, null, Free, 10, 9, 185, 1.434, 8, 172, 1.333, 6, 13, 0.101, 2, 0.9297297, 0.75, 157, 11, 0.085, 15, 0.116, 5, 0.039, 1127.516, 8.740, 634.348, 4.917, 1761.864, 13.658, 14.095, 0.640, 6.095, 5.355, 135.53, 15.08, 4.040,42, 87, 129, 14.333, 18, -35, -17, 0.326, 0.674, 125, 144, 0.465, 0.535, 0.215, 4, 4, 8, 3, 60, 2.0833333, 0.035, 0.965, 0.056, 705.211, 0.135, 0.865, 0.143, 0.857
1371831912, 442#1371831469, Cihon, null, Ciho, 12, 9, 72, 0.610, 7, 65, 0.551, 3, 7, 0.059, 4, 0.9027778, 0.42857143, 66, 11, 0.093, 3, 0.025, 5, 0.042, 414.726, 3.515, 632.047, 5.356, 1046.773, 8.871, 8.947, 0.396, 5.760, 7.991, 149.54, 11.86, 9.576,38, 80, 118, 13.111, 12, -24, -12, 0.322, 0.678, 117, 136, 0.462, 0.538, 0.097, 2, 1, 3, 4, 55, 2.1272728, 0.037, 0.963, 0.022, 435.825, 0.091, 0.909, 0.139, 0.861
1371831981, 442#1371831469, Morrissy, null, Morr, 14, 9, 45, 0.375, 4, 44, 0.367, 3, 1, 0.008, 1, 0.9777778, 0.75, 58, 15, 0.125, 3, 0.025, 7, 0.058, 103.948, 0.866, 823.797, 6.865, 927.745, 7.731, 7.136, 0.112, 2.310, 9.096, 927.74, 60.00, 14.203,53, 67, 120, 13.333, 29, -25, 4, 0.442, 0.558, 130, 131, 0.498, 0.502, 0.078, 3, 1, 4, 5, 64, 2.03125, 0.053, 0.947, 0.031, 431.106, 0.097, 0.903, 0.121, 0.879
1371832026, 442#1371831469, Dillon, null, Dill, 16, 9, 70, 0.660, 5, 67, 0.632, 4, 3, 0.028, 1, 0.95714283, 0.8, 62, 2, 0.019, 7, 0.066, 16, 0.151, 505.284, 4.767, 282.984, 2.670, 788.268, 7.436, 8.298, 0.641, 7.218, 6.111, 262.76, 24.00, 4.564,14, 92, 106, 11.778, 2, -36, -34, 0.132, 0.868, 95, 141, 0.403, 0.597, 0.119, 1, 2, 3, 0, 40, 2.375, 0.113, 0.887, 0.021, 931.112, 0.175, 0.825, 0.141, 0.859
1371832059, 442#1371831469, Neal, null, Neal, 17, 9, 38, 0.328, 4, 35, 0.302, 4, 3, 0.026, 0, 0.92105263, 1.0, 42, 7, 0.060, 5, 0.043, 8, 0.069, 204.295, 1.761, 537.966, 4.638, 742.261, 6.399, 6.569, 0.275, 5.376, 9.640, 247.42, 15.00, 12.809,46, 70, 116, 12.889, 14, -22, -8, 0.397, 0.603, 113, 119, 0.487, 0.513, 0.064, 3, 3, 6, 3, 57, 1.9824561, 0.067, 0.933, 0.050, 626.067, 0.136, 0.864, 0.137, 0.863
1371832103, 442#1371831469, Driscoll, null, Dris, 21, 9, 79, 0.718, 8, 73, 0.664, 5, 6, 0.055, 3, 0.9240506, 0.625, 89, 13, 0.118, 9, 0.082, 18, 0.164, 538.655, 4.897, 1065.896, 9.690, 1604.551, 14.587, 15.281, 0.336, 6.818, 9.905, 267.43, 15.33, 11.976,42, 68, 110, 12.222, 20, -30, -10, 0.382, 0.618, 105, 119, 0.469, 0.531, 0.131, 4, 1, 5, 5, 50, 2.1, 0.151, 0.849, 0.042, 1101.386, 0.249, 0.751, 0.156, 0.844
1371832147, 442#1371831469, Camden, null, Camd, 22, 9, 63, 0.600, 1, 59, 0.562, 1, 4, 0.038, 0, 0.93650794, 1.0, 73, 10, 0.095, 5, 0.048, 7, 0.067, 253.864, 2.418, 881.465, 8.395, 1135.329, 10.813, 9.083, 0.224, 4.030, 8.601, 283.83, 18.25, 12.075,78, 27, 105, 11.667, 24, -7, 17, 0.743, 0.257, 125, 97, 0.563, 0.437, 0.093, 0, 0, 0, 1, 60, 2.0833333, 0.072, 0.928, 0.000, 365.703, 0.125, 0.875, 0.098, 0.902
1371832190, 442#1371831469, Mickle, null, Mick, 23, 9, 143, 1.100, 25, 130, 1.000, 18, 13, 0.100, 7, 0.90909094, 0.72, 128, 12, 0.092, 25, 0.192, 8, 0.062, 1404.078, 10.801, 1144.351, 8.803, 2548.429, 19.603, 17.575, 0.551, 9.819, 9.878, 196.03, 11.92, 8.940,84, 46, 130, 14.444, 36, -18, 18, 0.646, 0.354, 145, 117, 0.553, 0.447, 0.144, 1, 5, 6, 5, 75, 1.9333333, 0.068, 0.932, 0.051, 779.753, 0.205, 0.795, 0.163, 0.837
1371832225, 442#1371831469, Kerns, null, Kern, 24, 9, 172, 1.686, 15, 159, 1.559, 8, 13, 0.127, 7, 0.9244186, 0.53333336, 127, 7, 0.069, 9, 0.088, 7, 0.069, 1473.537, 14.446, 279.318, 2.738, 1752.855, 17.185, 13.588, 0.841, 8.567, 6.129, 134.84, 13.77, 2.199,77, 25, 102, 11.333, 33, 1, 34, 0.755, 0.245, 129, 92, 0.584, 0.416, 0.155, 3, 4, 7, 1, 67, 1.9253731, 0.076, 0.924, 0.076, 378.768, 0.162, 0.838, 0.168, 0.832
